Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.5735626220703125e-05,4.76837158203125e-07,1.5735626220703125e-05
2,88,120,0,8,7.152557373046875e-07,2.2411346435546875e-05,2.384185791015625e-07,6.67572021484375e-06
3,88,128,0,8,7.152557373046875e-07,2.7418136596679688e-05,0.0,5.0067901611328125e-06
4,88,136,0,8,9.5367431640625e-07,3.218650817871094e-05,2.384185791015625e-07,4.76837158203125e-06
5,120,144,32,8,1.1920928955078125e-06,3.743171691894531e-05,2.384185791015625e-07,5.245208740234375e-06
6,120,152,0,8,1.1920928955078125e-06,4.220008850097656e-05,0.0,4.76837158203125e-06
7,120,160,0,8,1.1920928955078125e-06,4.649162292480469e-05,0.0,4.291534423828125e-06
8,120,168,0,8,1.1920928955078125e-06,5.1021575927734375e-05,0.0,4.5299530029296875e-06
9,184,176,64,8,1.1920928955078125e-06,5.555152893066406e-05,0.0,4.5299530029296875e-06
10,184,184,0,8,1.430511474609375e-06,6.008148193359375e-05,2.384185791015625e-07,4.5299530029296875e-06
11,184,192,0,8,1.6689300537109375e-06,6.461143493652344e-05,2.384185791015625e-07,4.5299530029296875e-06
12,184,200,0,8,1.9073486328125e-06,6.937980651855469e-05,2.384185791015625e-07,4.76837158203125e-06
13,184,208,0,8,1.9073486328125e-06,7.367134094238281e-05,0.0,4.291534423828125e-06
14,184,216,0,8,1.9073486328125e-06,7.796287536621094e-05,0.0,4.291534423828125e-06
15,184,224,0,8,2.1457672119140625e-06,8.225440979003906e-05,2.384185791015625e-07,4.291534423828125e-06
16,184,232,0,8,2.1457672119140625e-06,8.630752563476562e-05,0.0,4.0531158447265625e-06
17,256,240,72,8,2.384185791015625e-06,9.059906005859375e-05,2.384185791015625e-07,4.291534423828125e-06
18,256,248,0,8,2.384185791015625e-06,9.489059448242188e-05,0.0,4.291534423828125e-06
19,256,256,0,8,2.6226043701171875e-06,9.918212890625e-05,2.384185791015625e-07,4.291534423828125e-06
20,256,264,0,8,2.6226043701171875e-06,0.00010347366333007812,0.0,4.291534423828125e-06
21,256,272,0,8,2.86102294921875e-06,0.00010800361633300781,2.384185791015625e-07,4.5299530029296875e-06
22,256,280,0,8,2.86102294921875e-06,0.00011229515075683594,0.0,4.291534423828125e-06
23,256,288,0,8,3.0994415283203125e-06,0.00011658668518066406,2.384185791015625e-07,4.291534423828125e-06
24,256,296,0,8,3.337860107421875e-06,0.00012087821960449219,2.384185791015625e-07,4.291534423828125e-06
25,256,304,0,8,3.5762786865234375e-06,0.00012540817260742188,2.384185791015625e-07,4.5299530029296875e-06
26,336,312,80,8,4.0531158447265625e-06,0.00012969970703125,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,4.291534423828125e-06,0.00013399124145507812,2.384185791015625e-07,4.291534423828125e-06
28,336,328,0,8,4.291534423828125e-06,0.00013875961303710938,0.0,4.76837158203125e-06
29,336,336,0,8,4.291534423828125e-06,0.00014328956604003906,0.0,4.5299530029296875e-06
30,336,344,0,8,4.5299530029296875e-06,0.0001475811004638672,2.384185791015625e-07,4.291534423828125e-06
31,336,352,0,8,4.5299530029296875e-06,0.00015234947204589844,0.0,4.76837158203125e-06
32,336,360,0,8,4.5299530029296875e-06,0.00015687942504882812,0.0,4.5299530029296875e-06
33,336,368,0,8,4.5299530029296875e-06,0.00016117095947265625,0.0,4.291534423828125e-06
34,336,376,0,8,4.76837158203125e-06,0.00016546249389648438,2.384185791015625e-07,4.291534423828125e-06
35,336,384,0,8,4.76837158203125e-06,0.0001697540283203125,0.0,4.291534423828125e-06
36,424,392,88,8,5.245208740234375e-06,0.0001742839813232422,4.76837158203125e-07,4.5299530029296875e-06
37,424,400,0,8,5.245208740234375e-06,0.0001785755157470703,0.0,4.291534423828125e-06
38,424,408,0,8,5.245208740234375e-06,0.00018286705017089844,0.0,4.291534423828125e-06
