Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,0.0,0.0,0.0,0.0,4.863739013671875e-07,0.008286151885986328,4.863739013671875e-07,0.008286151885986328
2,0.0,0.0,0.0,0.0,7.200241088867188e-07,0.008293933868408203,4.7206878662109375e-07,7.781982421875e-06
3,0.0,0.0,0.0,0.0,-6.628036499023437e-07,0.008295087814331055,2.86102294921875e-07,5.68389892578125e-06
4,0.0,0.0,0.0,0.0,8.106231689453126e-07,0.00829218864440918,5.197525024414063e-07,0.0007226085662841797
5,0.0,0.0,0.0,0.0,8.153915405273437e-07,0.00829338550567627,4.816055297851563e-07,8.58783721923828e-06
6,0.0,0.0,0.0,0.0,9.298324584960938e-07,0.008294095993041992,3.528594970703125e-07,3.0946731567382814e-06
7,0.0,0.0,0.0,0.0,1.0061264038085937e-06,0.008294615745544433,3.1471252441406246e-07,2.6655197143554687e-06
8,0.0,0.0,0.0,0.0,1.1205673217773438e-06,0.008294649124145508,-1.239776611328125e-07,6.947517395019531e-06
9,0.0,0.0,0.0,0.0,1.2540817260742188e-05,0.008295054435729981,1.2850761413574218e-05,6.604194641113281e-06
10,0.0,0.0,0.0,0.0,1.240253448486328e-05,0.008295297622680664,5.769729614257812e-07,2.3608207702636718e-05
11,0.0,0.0,0.0,0.0,1.2521743774414062e-05,0.008295221328735352,3.5762786865234375e-07,2.78472900390625e-06
12,0.0,0.0,0.0,0.0,1.262664794921875e-05,0.008294415473937989,3.4332275390625e-07,1.445293426513672e-05
13,0.0,0.0,0.0,0.0,1.2497901916503907e-05,0.008293819427490235,3.4809112548828124e-07,1.7762184143066406e-05
14,0.0,0.0,0.0,0.0,1.2602806091308594e-05,0.008293728828430175,3.4332275390625e-07,6.346702575683594e-06
15,0.0,0.0,0.0,0.0,1.2450218200683593e-05,0.008293080329895019,3.2424926757812497e-07,1.9855499267578125e-05
16,0.0,0.0,0.0,0.0,1.2593269348144531e-05,0.008292784690856933,3.814697265625e-07,6.856918334960938e-06
17,0.0,0.0,0.0,0.0,1.2564659118652344e-05,0.008292779922485352,-2.6702880859375e-07,2.379417419433594e-06
18,0.0,0.0,0.0,0.0,1.2412071228027344e-05,0.008292675018310547,3.2424926757812497e-07,8.23974609375e-06
19,0.0,0.0,0.0,0.0,1.2493133544921875e-05,0.008292641639709473,3.194808959960937e-07,3.0660629272460936e-06
20,0.0,0.0,0.0,0.0,1.2378692626953125e-05,0.00829218864440918,3.62396240234375e-07,6.222724914550782e-06
21,0.0,0.0,0.0,0.0,1.2230873107910156e-05,0.008291597366333009,3.290176391601562e-07,1.6574859619140624e-05
22,0.0,0.0,0.0,0.0,1.2331008911132812e-05,0.008291139602661132,3.3855438232421873e-07,1.2178421020507812e-05
23,0.0,0.0,0.0,0.0,1.2159347534179688e-05,0.008290886878967285,3.0517578125e-07,4.7540664672851566e-06
24,0.0,0.0,0.0,0.0,1.2259483337402344e-05,0.008290643692016602,3.3855438232421873e-07,3.333091735839844e-06
25,0.0,0.0,0.0,0.0,1.2111663818359374e-05,0.008290371894836425,3.290176391601562e-07,1.4510154724121094e-05
26,0.0,0.0,0.0,0.0,2.452373504638672e-05,0.00828981876373291,2.528667449951172e-05,2.2096633911132814e-05
27,0.0,0.0,0.0,0.0,2.4652481079101564e-05,0.008289361000061035,3.6716461181640626e-07,2.8800964355468746e-06
28,0.0,0.0,0.0,0.0,2.4542808532714843e-05,0.008289251327514648,3.6716461181640626e-07,6.8044662475585935e-06
29,0.0,0.0,0.0,0.0,2.4619102478027345e-05,0.008288564682006836,3.1471252441406246e-07,1.3380050659179689e-05
