Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.621246337890625e-05,4.76837158203125e-07,1.621246337890625e-05
2,88,120,0,8,7.152557373046875e-07,2.3126602172851562e-05,2.384185791015625e-07,6.9141387939453125e-06
3,88,128,0,8,7.152557373046875e-07,2.8848648071289062e-05,0.0,5.7220458984375e-06
4,88,136,0,8,9.5367431640625e-07,3.3855438232421875e-05,2.384185791015625e-07,5.0067901611328125e-06
5,120,144,32,8,1.1920928955078125e-06,3.910064697265625e-05,2.384185791015625e-07,5.245208740234375e-06
6,120,152,0,8,1.1920928955078125e-06,4.38690185546875e-05,0.0,4.76837158203125e-06
7,120,160,0,8,1.430511474609375e-06,4.863739013671875e-05,2.384185791015625e-07,4.76837158203125e-06
8,120,168,0,8,1.6689300537109375e-06,5.316734313964844e-05,2.384185791015625e-07,4.5299530029296875e-06
9,184,176,64,8,1.9073486328125e-06,5.7697296142578125e-05,2.384185791015625e-07,4.5299530029296875e-06
10,184,184,0,8,2.1457672119140625e-06,6.246566772460938e-05,2.384185791015625e-07,4.76837158203125e-06
11,184,192,0,8,2.6226043701171875e-06,6.699562072753906e-05,4.76837158203125e-07,4.5299530029296875e-06
12,184,200,0,8,2.6226043701171875e-06,7.152557373046875e-05,0.0,4.5299530029296875e-06
13,184,208,0,8,2.86102294921875e-06,7.605552673339844e-05,2.384185791015625e-07,4.5299530029296875e-06
14,184,216,0,8,3.0994415283203125e-06,8.034706115722656e-05,2.384185791015625e-07,4.291534423828125e-06
15,184,224,0,8,3.0994415283203125e-06,8.463859558105469e-05,0.0,4.291534423828125e-06
16,184,232,0,8,3.0994415283203125e-06,8.893013000488281e-05,0.0,4.291534423828125e-06
17,256,240,72,8,3.5762786865234375e-06,9.322166442871094e-05,4.76837158203125e-07,4.291534423828125e-06
18,256,248,0,8,3.814697265625e-06,9.775161743164062e-05,2.384185791015625e-07,4.5299530029296875e-06
19,256,256,0,8,4.0531158447265625e-06,0.00010228157043457031,2.384185791015625e-07,4.5299530029296875e-06
20,256,264,0,8,4.291534423828125e-06,0.0001068115234375,2.384185791015625e-07,4.5299530029296875e-06
21,256,272,0,8,4.5299530029296875e-06,0.00011134147644042969,2.384185791015625e-07,4.5299530029296875e-06
22,256,280,0,8,4.76837158203125e-06,0.00011610984802246094,2.384185791015625e-07,4.76837158203125e-06
23,256,288,0,8,5.245208740234375e-06,0.00012063980102539062,4.76837158203125e-07,4.5299530029296875e-06
24,256,296,0,8,5.245208740234375e-06,0.00012493133544921875,0.0,4.291534423828125e-06
25,256,304,0,8,5.4836273193359375e-06,0.00012946128845214844,2.384185791015625e-07,4.5299530029296875e-06
26,336,312,80,8,5.9604644775390625e-06,0.00013375282287597656,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,6.198883056640625e-06,0.0001380443572998047,2.384185791015625e-07,4.291534423828125e-06
28,336,328,0,8,6.198883056640625e-06,0.0001423358917236328,0.0,4.291534423828125e-06
29,336,336,0,8,6.198883056640625e-06,0.00014662742614746094,0.0,4.291534423828125e-06
30,336,344,0,8,6.4373016357421875e-06,0.00015091896057128906,2.384185791015625e-07,4.291534423828125e-06
31,336,352,0,8,6.4373016357421875e-06,0.00015544891357421875,0.0,4.5299530029296875e-06
32,336,360,0,8,6.67572021484375e-06,0.00015997886657714844,2.384185791015625e-07,4.5299530029296875e-06
33,336,368,0,8,6.67572021484375e-06,0.00016427040100097656,0.0,4.291534423828125e-06
34,336,376,0,8,6.67572021484375e-06,0.00016880035400390625,0.0,4.5299530029296875e-06
