Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,0.0,0.0,0.0,0.0
2,88,120,0,8,0.0,0.0,0.0,0.0
3,88,128,0,8,0.0,0.0,0.0,0.0
4,88,136,0,8,0.0,0.0,0.0,0.0
5,120,144,32,8,0.0,0.0,0.0,0.0
6,120,152,0,8,0.0,0.0,0.0,0.0
7,120,160,0,8,0.0,0.0,0.0,0.0
8,120,168,0,8,0.0,0.0,0.0,0.0
9,184,176,64,8,0.0,0.0,0.0,0.0
10,184,184,0,8,0.0,0.0,0.0,0.0
11,184,192,0,8,0.0,0.0,0.0,0.0
12,184,200,0,8,0.0,0.0,0.0,0.0
13,184,208,0,8,0.0,0.0,0.0,0.0
14,184,216,0,8,0.0,0.0,0.0,0.0
15,184,224,0,8,0.0,0.0,0.0,0.0
16,184,232,0,8,0.0,0.0,0.0,0.0
17,256,240,72,8,0.0,0.0,0.0,0.0
18,256,248,0,8,0.0,0.0,0.0,0.0
19,256,256,0,8,0.0,0.0,0.0,0.0
20,256,264,0,8,0.0,0.0,0.0,0.0
21,256,272,0,8,0.0,0.0,0.0,0.0
22,256,280,0,8,0.0,0.0,0.0,0.0
23,256,288,0,8,0.0,0.0,0.0,0.0
24,256,296,0,8,0.0,0.0,0.0,0.0
25,256,304,0,8,0.0,0.0,0.0,0.0
26,336,312,80,8,0.0,0.0,0.0,0.0
27,336,320,0,8,0.0,0.0,0.0,0.0
28,336,328,0,8,0.0,0.0,0.0,0.0
29,336,336,0,8,0.0,0.0,0.0,0.0
30,336,344,0,8,0.0,0.0,0.0,0.0
31,336,352,0,8,0.0,0.0,0.0,0.0
32,336,360,0,8,0.0,0.0,0.0,0.0
33,336,368,0,8,0.0,0.0,0.0,0.0
34,336,376,0,8,0.0,0.0,0.0,0.0
35,336,384,0,8,0.0,0.0,0.0,0.0
